Cattext_name;Dialogfenster;Parameter;Oberbegriff;Bezeichnung;Vorlage_txt;Text_pfad
Vitalwerte;�berwachung;MDD_SaO2;SpO2 / Atemfrequenz;SpO2 - �berwachung; ; 
Vitalwerte;�berwachung;MDD_AF;SpO2 / Atemfrequenz;Atemfrequenz; ; 
Vitalwerte;Blutdruck / Herzfrequenz;MDD_HF;Blutdruck / Herzfrequenz;Herzfrequenz; ; 
Vitalwerte;Blutdruck / Herzfrequenz;Blutdruck / Herzfrequenz;MDD_HF;Herzfrequenz;RD Erstbefund;RD Erstbefund
Vitalwerte;Blutdruck / Herzfrequenz;MDD_PF;Blutdruck / Herzfrequenz;Pulsfrequenz von SpO2; ; 
Vitalwerte;Blutdruck / Herzfrequenz;MDD_IBP-syst;Blutdruck / Herzfrequenz;Sys art Druck; ; 
Vitalwerte;Blutdruck / Herzfrequenz;MDD_IBP;Blutdruck / Herzfrequenz;mit art Druck; ; 
Vitalwerte;Blutdruck / Herzfrequenz;MDD_IBP-mean;Blutdruck / Herzfrequenz;mit art Druck; ; 
Vitalwerte;Blutdruck / Herzfrequenz;MDD_IBP-diast;Blutdruck / Herzfrequenz;Dia art Druck; ; 
Vitalwerte;Blutdruck / Herzfrequenz;MDD_NBP-syst;Blutdruck / Herzfrequenz;Sys noninv Druck; ; 
Vitalwerte;Blutdruck / Herzfrequenz;Blutdruck / Herzfrequenz;MDD_NBP-syst;Sys noninv Druck;RD Erstbefund;RD Erstbefund
Vitalwerte;Blutdruck / Herzfrequenz;MDD_NBP;Blutdruck / Herzfrequenz;Mit noninv Druck; ; 
Vitalwerte;Blutdruck / Herzfrequenz;MDD_NBP-mean;Blutdruck / Herzfrequenz;Mit noninv Druck; ; 
Vitalwerte;Blutdruck / Herzfrequenz;MDD_NBP-diast;Blutdruck / Herzfrequenz;Dia noninv Druck; ; 
Vitalwerte;Blutdruck / Herzfrequenz;Blutdruck / Herzfrequenz;MDD_NBP-diast;Dia noninv Druck;RD Erstbefund;RD Erstbefund
Vitalwerte;Pulmonalarterieller Druck;MDD_PAP-syst;pulmonalarterieller Druck;Sys PAP Druck; ; 
Vitalwerte;Pulmonalarterieller Druck;MDD_PAP;pulmonalarterieller Druck;Mit PAP Druck; ; 
Vitalwerte;Pulmonalarterieller Druck;MDD_PAP-mean;pulmonalarterieller Druck;Mit PAP Druck; ; 
Vitalwerte;Pulmonalarterieller Druck;MDD_PAP-diast;pulmonalarterieller Druck;Dia PAP Druck; ; 
Vitalwerte;�berwachung;Atemfrequenz spontan;SpO2 / Atemfrequenz;Atemfrequenz spontan; ; 
Vitalwerte;�berwachung;MDD_SAO2_2;SaO2 - Diagnostik;SpO2 - Diagnostik; ; 
Vitalwerte;�berwachung;MDD_Temp;Temperatur;Temperatur; ; 
Vitalwerte;�berwachung;Temperatur;MDD_Temp;Temperatur;Ohrmessung;Ohrmessung
Vitalwerte;�berwachung;Temperatur;MDD_Temp;Temperatur;Rectalmessung;Rectalmessung
Vitalwerte;�berwachung;Temperatur;MDD_Temp;Temperatur;Sublingualmessung;Sublingualmessung
Vitalwerte;�berwachung;Temperatur;MDD_Temp;Temperatur;Axillarmessung;Axillarmessung
Vitalwerte;�berwachung;Temperatur;MDD_Temp;Temperatur;---;---
Vitalwerte;�berwachung;Temperatur;MDD_Temp;Temperatur;RD Erstbefund;RD Erstbefund
Vitalwerte;�berwachung;TBlut;Temperatur Blut;TBlut; ; 
Vitalwerte;�berwachung;MDD_Temp1;Temperatur Zusatz �berwachung;Temperatur Zusatz �berwachung; ; 
Vitalwerte;H�modynamik;MDD_ZVD;ZVD;ZVD (mmHg); ; 
