Cattext_name                ;Dialogfenster                                    ;Parameter                                                     ;Oberbegriff                                                   ;Bezeichnung                                                                                  ;Vorlage_txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Text_pfad
Surveillance des signes vitaux ; Surveillance MDD_SaO2 ; SpO2 / Fréquence respiratoire ; Surveillance SpO2 ; ;
Surveillance des signes vitaux ; MDD_AF ; SpO2 / Fréquence respiratoire ; Fréquence respiratoire ; ;
Valeurs vitales ; Tension artérielle / Fréquence cardiaque ; MDD_HF ; Tension artérielle / Fréquence cardiaque ; Fréquence cardiaque ; ;
Valeurs vitales ;Tension artérielle / Fréquence cardiaque ;Tension artérielle / Fréquence cardiaque ;MDD_HF ;Fréquence cardiaque ;RD Premier diagnostic ;RD Premier diagnostic
Valeurs vitales ; Tension artérielle / Fréquence cardiaque ; MDD_PF ; Tension artérielle / Fréquence cardiaque ; Fréquence du pouls de SpO2 ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_IBP-syst ; Pression artérielle / Fréquence cardiaque ; Pression artérielle systolique ; ;
Valeurs vitales ; Tension artérielle / Fréquence cardiaque ; MDD_IBP ; Tension artérielle / Fréquence cardiaque ; avec pression art ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_IBP-moyenne ; Pression artérielle / Fréquence cardiaque ; avec pression artérielle ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_IBP-diast ; Pression artérielle / Fréquence cardiaque ; Pression artérielle diastolique ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_NBP-syst ; Pression artérielle / Fréquence cardiaque ; Pression non invasive Sys ; ;
Valeurs vitales ; Tension artérielle / Fréquence cardiaque ; Tension artérielle / Fréquence cardiaque ; MDD_NBP-syst ; Pression non invas Sys ; RD Premier diagnostic ; RD Premier diagnostic
"Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_NBP ; Pression artérielle / Fréquence cardiaque ; Avec pression non invasive ; ;
"
Valeurs vitales ;Pression artérielle / Fréquence cardiaque ;MDD_NBP-moyenne ;Pression artérielle / Fréquence cardiaque ;Avec pression non invasive ; ;
Signes vitaux ; Tension artérielle / Fréquence cardiaque ; MDD_NBP-diast ; Tension artérielle / Fréquence cardiaque ; Pression non invasive Dia ; ;
Valeurs vitales ; Tension artérielle / Fréquence cardiaque; Tension artérielle / Fréquence cardiaque ; MDD_NBP-diast ; Pression non invasive Dia ; RD Premier diagnostic ; RD Premier diagnostic
Valeurs vitales ; Pression artérielle pulmonaire ; MDD_PAP-syst ; Pression artérielle pulmonaire ; Sys PAP Pression ; ;
